lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
p ˈɪ k tʃ ɚ	p ˈɪ k tʃ ɚ d	92	picture	pictured	∅ -> d	regular	NA	pˈɪkCɚ	pˈɪkCɚd
ɹ ɪ t ˈæ l i eɪ t	ɹ ɪ t ˈæ l i eɪ t ɨ d	92	retaliate	retaliated	∅ -> ɨ d	regular	NA	ɹɪtˈæliet	ɹɪtˈælietɨd
ə l ˈaɪ	ə l ˈaɪ d	91	ally	allied	∅ -> d	regular	NA	əlˈY	əlˈYd
b ɹ ˈɪ s ə l	b ɹ ˈɪ s ə l d	91	bristle	bristled	∅ -> d	regular	NA	bɹˈɪsəl	bɹˈɪsəld
k l ˈʌ t ɚ	k l ˈʌ t ɚ d	91	clutter	cluttered	∅ -> d	regular	NA	klˈʌtɚ	klˈʌtɚd
k ˈɔɪ l	k ˈɔɪ l d	91	coil	coiled	∅ -> d	regular	NA	kˈOl	kˈOld
d ɪ t ˈeɪ n	d ɪ t ˈeɪ n d	91	detain	detained	∅ -> d	regular	NA	dɪtˈen	dɪtˈend
d ɪ s p ˈɛ l	d ɪ s p ˈɛ l d	91	dispel	dispelled	∅ -> d	regular	NA	dɪspˈɛl	dɪspˈɛld
g ˈʌ l p	g ˈʌ l p t	91	gulp	gulped	∅ -> t	regular	NA	gˈʌlp	gˈʌlpt
h ˈæ tʃ	h ˈæ tʃ t	91	hatch	hatched	∅ -> t	regular	NA	hˈæC	hˈæCt
h ˈɪ tʃ	h ˈɪ tʃ t	91	hitch	hitched	∅ -> t	regular	NA	hˈɪC	hˈɪCt
dʒ ˈa s ə l	dʒ ˈa s ə l d	91	jostle	jostled	∅ -> d	regular	NA	Jˈasəl	Jˈasəld
m ˈa d ə l	m ˈa d ə l d	91	model	modelled	∅ -> d	regular	NA	mˈadəl	mˈadəld
p ɹ ˈaɪ	p ɹ ˈaɪ d	91	pry	pried	∅ -> d	regular	NA	pɹˈY	pɹˈYd
ɹ ɪ f ɹ ˈɛ ʃ	ɹ ɪ f ɹ ˈɛ ʃ t	91	refresh	refreshed	∅ -> t	regular	NA	ɹɪfɹˈɛʃ	ɹɪfɹˈɛʃt
θ w ˈoʊ ɹ t	θ w ˈoʊ ɹ t ɨ d	91	thwart	thwarted	∅ -> ɨ d	regular	NA	θwˈoɹt	θwˈoɹtɨd
ˈæ ŋ k ɚ	ˈæ ŋ k ɚ d	90	anchor	anchored	∅ -> d	regular	NA	ˈæŋkɚ	ˈæŋkɚd
k ə n s ˈɛ n t	k ə n s ˈɛ n t ɨ d	90	consent	consented	∅ -> ɨ d	regular	NA	kənsˈɛnt	kənsˈɛntɨd
k ɹ ˈeɪ v	k ɹ ˈeɪ v d	90	crave	craved	∅ -> d	regular	NA	kɹˈev	kɹˈevd
ɪ n t ɹ ˈu d	ɪ n t ɹ ˈu d ɨ d	90	intrude	intruded	∅ -> ɨ d	regular	NA	ɪntɹˈud	ɪntɹˈudɨd
l ˈa l	l ˈa l d	90	loll	lolled	∅ -> d	regular	NA	lˈal	lˈald
m ˈa d ɚ n aɪ z	m ˈa d ɚ n aɪ z d	90	modernize	modernized	∅ -> d	regular	NA	mˈadɚnYz	mˈadɚnYzd
s p ˈɔ n	s p ˈɔ n d	90	spawn	spawned	∅ -> d	regular	NA	spˈɔn	spˈɔnd
t ˈa t ɚ	t ˈa t ɚ d	90	totter	tottered	∅ -> d	regular	NA	tˈatɚ	tˈatɚd
tʃ ˈɝ n	tʃ ˈɝ n d	89	churn	churned	∅ -> d	regular	NA	Cˈɝn	Cˈɝnd
ɪ n g ɹ ˈeɪ v	ɪ n g ɹ ˈeɪ v d	89	engrave	engraved	∅ -> d	regular	NA	ɪngɹˈev	ɪngɹˈevd
ɪ g z ˈɪ l ə ɹ eɪ t	ɪ g z ˈɪ l ə ɹ eɪ t ɨ d	89	exhilarate	exhilarated	∅ -> ɨ d	regular	NA	ɪgzˈɪləɹet	ɪgzˈɪləɹetɨd
f ɹ ˈɛ t	f ɹ ˈɛ t ɨ d	89	fret	fretted	∅ -> ɨ d	regular	NA	fɹˈɛt	fɹˈɛtɨd
h ˈæ m p ɚ	h ˈæ m p ɚ d	89	hamper	hampered	∅ -> d	regular	NA	hˈæmpɚ	hˈæmpɚd
p ɹ ˈaʊ l	p ɹ ˈaʊ l d	89	prowl	prowled	∅ -> d	regular	NA	pɹˈWl	pɹˈWld
ɹ ˈʌ f ə l	ɹ ˈʌ f ə l d	89	ruffle	ruffled	∅ -> d	regular	NA	ɹˈʌfəl	ɹˈʌfəld
s k w ˈɝ m	s k w ˈɝ m d	89	squirm	squirmed	∅ -> d	regular	NA	skwˈɝm	skwˈɝmd
b ˈaɪ ə s	b ˈaɪ ə s t	88	bias	biassed	∅ -> t	regular	NA	bˈYəs	bˈYəst
b ˈɝ k	b ˈɝ k t	88	burke	burked	∅ -> t	regular	NA	bˈɝk	bˈɝkt
k ˈoʊ k s	k ˈoʊ k s t	88	coax	coaxed	∅ -> t	regular	NA	kˈoks	kˈokst
s n ˈi ɹ	s n ˈi ɹ d	88	sneer	sneered	∅ -> d	regular	NA	snˈiɹ	snˈiɹd
s p ˈaɪ	s p ˈaɪ d	88	spy	spied	∅ -> d	regular	NA	spˈY	spˈYd
s t ˈæ f	s t ˈæ f t	88	staff	staffed	∅ -> t	regular	NA	stˈæf	stˈæft
s t ˈoʊ k	s t ˈoʊ k t	88	stoke	stoked	∅ -> t	regular	NA	stˈok	stˈokt
s ˈʌ f ə k eɪ t	s ˈʌ f ə k eɪ t ɨ d	88	suffocate	suffocated	∅ -> ɨ d	regular	NA	sˈʌfəket	sˈʌfəketɨd
t ˈɝ m ɪ n eɪ t	t ˈɝ m ɪ n eɪ t ɨ d	88	terminate	terminated	∅ -> ɨ d	regular	NA	tˈɝmɪnet	tˈɝmɪnetɨd
b ɹ ˈaɪ t ə n	b ɹ ˈaɪ t ə n d	87	brighten	brightened	∅ -> d	regular	NA	bɹˈYtən	bɹˈYtənd
k ə n f l ˈɪ k t	k ə n f l ˈɪ k t ɨ d	87	conflict	conflicted	∅ -> ɨ d	regular	NA	kənflˈɪkt	kənflˈɪktɨd
s k ˈɝ i	s k ˈɝ i d	87	scurry	scurried	∅ -> d	regular	NA	skˈɝi	skˈɝid
θ ˈæ tʃ	θ ˈæ tʃ t	87	thatch	thatched	∅ -> t	regular	NA	θˈæC	θˈæCt
tʃ ˈʌ k	tʃ ˈʌ k t	86	chuck	chucked	∅ -> t	regular	NA	Cˈʌk	Cˈʌkt
g ɹ ˈi v	g ɹ ˈi v d	86	grieve	grieved	∅ -> d	regular	NA	gɹˈiv	gɹˈivd
g ɹ ˈu m	g ɹ ˈu m d	86	groom	groomed	∅ -> d	regular	NA	gɹˈum	gɹˈumd
h ˈɪ n d ɚ	h ˈɪ n d ɚ d	86	hinder	hindered	∅ -> d	regular	NA	hˈɪndɚ	hˈɪndɚd
p ɹ ˈɪ k	p ɹ ˈɪ k t	86	prick	pricked	∅ -> t	regular	NA	pɹˈɪk	pɹˈɪkt
ɹ ˈeɪ t	ɹ ˈeɪ t ɨ d	86	rate	rated	∅ -> ɨ d	regular	NA	ɹˈet	ɹˈetɨd
ɹ ɪ f j ˈu t	ɹ ɪ f j ˈu t ɨ d	86	refute	refuted	∅ -> ɨ d	regular	NA	ɹɪfjˈut	ɹɪfjˈutɨd
s ˈi ð	s ˈi ð d	86	seethe	seethed	∅ -> d	regular	NA	sˈið	sˈiðd
s ˈɪ m j ʊ l eɪ t	s ˈɪ m j ʊ l eɪ t ɨ d	86	simulate	simulated	∅ -> ɨ d	regular	NA	sˈɪmjʊlet	sˈɪmjʊletɨd
s k ˈɝ t	s k ˈɝ t ɨ d	86	skirt	skirted	∅ -> ɨ d	regular	NA	skˈɝt	skˈɝtɨd
s n ˈoʊ ɹ t	s n ˈoʊ ɹ t ɨ d	86	snort	snorted	∅ -> ɨ d	regular	NA	snˈoɹt	snˈoɹtɨd
s k w ˈɔ ʃ	s k w ˈɔ ʃ t	86	squash	squashed	∅ -> t	regular	NA	skwˈɔʃ	skwˈɔʃt
t ˈaɪ m	t ˈaɪ m d	86	time	timed	∅ -> d	regular	NA	tˈYm	tˈYmd
w ˈeɪ n	w ˈeɪ n d	86	wane	waned	∅ -> d	regular	NA	wˈen	wˈend
b ˈɪ d	b ˈɪ d	85	bid	bid	no_change	irregular	NA	bˈɪd	bˈɪd
b ɹ ˈi f	b ɹ ˈi f t	85	brief	briefed	∅ -> t	regular	NA	bɹˈif	bɹˈift
k l ˈæ ʃ	k l ˈæ ʃ t	85	clash	clashed	∅ -> t	regular	NA	klˈæʃ	klˈæʃt
k l ˈɪ p	k l ˈɪ p t	85	clip	clipped	∅ -> t	regular	NA	klˈɪp	klˈɪpt
f ˈɪ ŋ g ɚ	f ˈɪ ŋ g ɚ d	85	finger	fingered	∅ -> d	regular	NA	fˈɪŋgɚ	fˈɪŋgɚd
g ɹ ˈæ t ɪ f aɪ	g ɹ ˈæ t ɪ f aɪ d	85	gratify	gratified	∅ -> d	regular	NA	gɹˈætɪfY	gɹˈætɪfYd
ɪ n v ˈɝ t	ɪ n v ˈɝ t ɨ d	85	invert	inverted	∅ -> ɨ d	regular	NA	ɪnvˈɝt	ɪnvˈɝtɨd
m ˈa ɹ	m ˈa ɹ d	85	mar	marred	∅ -> d	regular	NA	mˈaɹ	mˈaɹd
m ˈa ɹ v ə l	m ˈa ɹ v ə l d	85	marvel	marvelled	∅ -> d	regular	NA	mˈaɹvəl	mˈaɹvəld
m ˈʌ n tʃ	m ˈʌ n tʃ t	85	munch	munched	∅ -> t	regular	NA	mˈʌnC	mˈʌnCt
p ˈoʊ tʃ	p ˈoʊ tʃ t	85	poach	poached	∅ -> t	regular	NA	pˈoC	pˈoCt
s ˈi p	s ˈi p t	85	seep	seeped	∅ -> t	regular	NA	sˈip	sˈipt
s t ˈaɪ l	s t ˈaɪ l d	85	style	styled	∅ -> d	regular	NA	stˈYl	stˈYld
t ˈæ n	t ˈæ n d	85	tan	tanned	∅ -> d	regular	NA	tˈæn	tˈænd
w ˈɔ l	w ˈɔ l d	85	wall	walled	∅ -> d	regular	NA	wˈɔl	wˈɔld
w ˈɪ m p ɚ	w ˈɪ m p ɚ d	85	whimper	whimpered	∅ -> d	regular	NA	wˈɪmpɚ	wˈɪmpɚd
d ɪ s ˈɝ n	d ɪ s ˈɝ n d	84	discern	discerned	∅ -> d	regular	NA	dɪsˈɝn	dɪsˈɝnd
d ˈa dʒ	d ˈa dʒ d	84	dodge	dodged	∅ -> d	regular	NA	dˈaJ	dˈaJd
ɪ k w ˈeɪ t	ɪ k w ˈeɪ t ɨ d	84	equate	equated	∅ -> ɨ d	regular	NA	ɪkwˈet	ɪkwˈetɨd
ɪ g z ˈɛ m p l ə f aɪ	ɪ g z ˈɛ m p l ə f aɪ d	84	exemplify	exemplified	∅ -> d	regular	NA	ɪgzˈɛmpləfY	ɪgzˈɛmpləfYd
f ˈæ t ə n	f ˈæ t ə n d	84	fatten	fattened	∅ -> d	regular	NA	fˈætən	fˈætənd
f j ˈu ə l	f j ˈu ə l d	84	fuel	fuelled	∅ -> d	regular	NA	fjˈuəl	fjˈuəld
ɪ m ˈɝ s	ɪ m ˈɝ s t	84	immerse	immersed	∅ -> t	regular	NA	ɪmˈɝs	ɪmˈɝst
ˈaɪ ɚ n	ˈaɪ ɚ n d	84	iron	ironed	∅ -> d	regular	NA	ˈYɚn	ˈYɚnd
l ˈʌ n tʃ	l ˈʌ n tʃ t	84	lunch	lunched	∅ -> t	regular	NA	lˈʌnC	lˈʌnCt
m ˈoʊ	m ˈoʊ d	84	mow	mowed	∅ -> d	regular	NA	mˈo	mˈod
b ˈʌ n d ə l	b ˈʌ n d ə l d	83	bundle	bundled	∅ -> d	regular	NA	bˈʌndəl	bˈʌndəld
ɪ n v ˈɛ l ə p	ɪ n v ˈɛ l ə p t	83	envelop	enveloped	∅ -> t	regular	NA	ɪnvˈɛləp	ɪnvˈɛləpt
g ɹ ˈeɪ t	g ɹ ˈeɪ t ɨ d	83	grate	grated	∅ -> ɨ d	regular	NA	gɹˈet	gɹˈetɨd
h ˈæ v	h ˈæ v d	83	halve	halved	∅ -> d	regular	NA	hˈæv	hˈævd
m ˈæ ʃ	m ˈæ ʃ t	83	mash	mashed	∅ -> t	regular	NA	mˈæʃ	mˈæʃt
p ˈaʊ n s	p ˈaʊ n s t	83	pounce	pounced	∅ -> t	regular	NA	pˈWns	pˈWnst
p ˈʌ t	p ˈʌ t ɨ d	83	putt	putted	∅ -> ɨ d	regular	NA	pˈʌt	pˈʌtɨd
s ˈɛ n t	s ˈɛ n t ɨ d	83	scent	scented	∅ -> ɨ d	regular	NA	sˈɛnt	sˈɛntɨd
s k ˈaʊ ɚ	s k ˈaʊ ɚ d	83	scour	scoured	∅ -> d	regular	NA	skˈWɚ	skˈWɚd
ʃ ˈɪ p	ʃ ˈɪ p t	83	ship	shipped	∅ -> t	regular	NA	ʃˈɪp	ʃˈɪpt
t ˈaʊ ɚ	t ˈaʊ ɚ d	83	tower	towered	∅ -> d	regular	NA	tˈWɚ	tˈWɚd
ə l ˈi v i eɪ t	ə l ˈi v i eɪ t ɨ d	82	alleviate	alleviated	∅ -> ɨ d	regular	NA	əlˈiviet	əlˈivietɨd
d ɪ f ˈɝ	d ɪ f ˈɝ d	82	defer	deferred	∅ -> d	regular	NA	dɪfˈɝ	dɪfˈɝd
d ɪ f l ˈɛ k t	d ɪ f l ˈɛ k t ɨ d	82	deflect	deflected	∅ -> ɨ d	regular	NA	dɪflˈɛkt	dɪflˈɛktɨd
d ˈɪ s ɪ p eɪ t	d ˈɪ s ɪ p eɪ t ɨ d	82	dissipate	dissipated	∅ -> ɨ d	regular	NA	dˈɪsɪpet	dˈɪsɪpetɨd
f l ˈʌ k tʃ u eɪ t	f l ˈʌ k tʃ u eɪ t ɨ d	82	fluctuate	fluctuated	∅ -> ɨ d	regular	NA	flˈʌkCuet	flˈʌkCuetɨd
g l ˈɪ n t	g l ˈɪ n t ɨ d	82	glint	glinted	∅ -> ɨ d	regular	NA	glˈɪnt	glˈɪntɨd
dʒ ˈa g	dʒ ˈa g d	82	jog	jogged	∅ -> d	regular	NA	Jˈag	Jˈagd
l ˈeɪ s	l ˈeɪ s t	82	lace	laced	∅ -> t	regular	NA	lˈes	lˈest
m ˈɪ m ɪ k	m ˈɪ m ɪ k t	82	mimic	mimicked	∅ -> t	regular	NA	mˈɪmɪk	mˈɪmɪkt
p l ˈæ s t ɚ	p l ˈæ s t ɚ d	82	plaster	plastered	∅ -> d	regular	NA	plˈæstɚ	plˈæstɚd
p ɹ ɪ k l ˈu d	p ɹ ɪ k l ˈu d ɨ d	82	preclude	precluded	∅ -> ɨ d	regular	NA	pɹɪklˈud	pɹɪklˈudɨd
t ɹ ˈʌ dʒ	t ɹ ˈʌ dʒ d	82	trudge	trudged	∅ -> d	regular	NA	tɹˈʌJ	tɹˈʌJd
k ˈoʊ d	k ˈoʊ d ɨ d	81	code	coded	∅ -> ɨ d	regular	NA	kˈod	kˈodɨd
d ˈæ b	d ˈæ b d	81	dab	dabbed	∅ -> d	regular	NA	dˈæb	dˈæbd
f ˈeɪ k	f ˈeɪ k t	81	fake	faked	∅ -> t	regular	NA	fˈek	fˈekt
f ɹ ˈæ g m ɛ n t	f ɹ ˈæ g m ɛ n t ɨ d	81	fragment	fragmented	∅ -> ɨ d	regular	NA	fɹˈægmɛnt	fɹˈægmɛntɨd
p ˈæ tʃ	p ˈæ tʃ t	81	patch	patched	∅ -> t	regular	NA	pˈæC	pˈæCt
ɹ ˈæ ʃ ə n ə l aɪ z	ɹ ˈæ ʃ ə n ə l aɪ z d	81	rationalize	rationalized	∅ -> d	regular	NA	ɹˈæʃənəlYz	ɹˈæʃənəlYzd
ɹ ɪ l ˈɪ ŋ k w ɪ ʃ	ɹ ɪ l ˈɪ ŋ k w ɪ ʃ t	81	relinquish	relinquished	∅ -> t	regular	NA	ɹɪlˈɪŋkwɪʃ	ɹɪlˈɪŋkwɪʃt
s t ˈeɪ b ə l aɪ z	s t ˈeɪ b ə l aɪ z d	81	stabilize	stabilized	∅ -> d	regular	NA	stˈebəlYz	stˈebəlYzd
w ˈæ k s	w ˈæ k s t	81	wax	waxed	∅ -> t	regular	NA	wˈæks	wˈækst
w ˈɛ ð ɚ	w ˈɛ ð ɚ d	81	weather	weathered	∅ -> d	regular	NA	wˈɛðɚ	wˈɛðɚd
w ˈi d	w ˈi d ɨ d	81	weed	weeded	∅ -> ɨ d	regular	NA	wˈid	wˈidɨd
b ˈeɪ ɹ	b ˈeɪ ɹ d	80	bare	bared	∅ -> d	regular	NA	bˈeɹ	bˈeɹd
d ˈoʊ n eɪ t	d ˈoʊ n eɪ t ɨ d	80	donate	donated	∅ -> ɨ d	regular	NA	dˈonet	dˈonetɨd
ˈɛ k s k ə v eɪ t	ˈɛ k s k ə v eɪ t ɨ d	80	excavate	excavated	∅ -> ɨ d	regular	NA	ˈɛkskəvet	ˈɛkskəvetɨd
g ˈɪ l d	g ˈɪ l d ɨ d	80	gild	gilded	∅ -> ɨ d	regular	NA	gˈɪld	gˈɪldɨd
h ˈɝ d	h ˈɝ d ɨ d	80	herd	herded	∅ -> ɨ d	regular	NA	hˈɝd	hˈɝdɨd
ɪ m p ˈi d	ɪ m p ˈi d ɨ d	80	impede	impeded	∅ -> ɨ d	regular	NA	ɪmpˈid	ɪmpˈidɨd
m ˈoʊ ʃ ə n	m ˈoʊ ʃ ə n d	80	motion	motioned	∅ -> d	regular	NA	mˈoʃən	mˈoʃənd
oʊ ɹ d ˈeɪ n	oʊ ɹ d ˈeɪ n d	80	ordain	ordained	∅ -> d	regular	NA	oɹdˈen	oɹdˈend
t ˈeɪ m	t ˈeɪ m d	80	tame	tamed	∅ -> d	regular	NA	tˈem	tˈemd
θ ɹ ˈɛ d	θ ɹ ˈɛ d ɨ d	80	thread	threaded	∅ -> ɨ d	regular	NA	θɹˈɛd	θɹˈɛdɨd
w ˈɛ t	w ˈɛ t	80	wet	wet	no_change	irregular	NA	wˈɛt	wˈɛt
w ˈaɪ ɚ	w ˈaɪ ɚ d	80	wire	wired	∅ -> d	regular	NA	wˈYɚ	wˈYɚd
k l ˈæ m p	k l ˈæ m p t	79	clamp	clamped	∅ -> t	regular	NA	klˈæmp	klˈæmpt
k ɹ ˈi s	k ɹ ˈi s t	79	crease	creased	∅ -> t	regular	NA	kɹˈis	kɹˈist
d ˈa k j ʊ m ɛ n t	d ˈa k j ʊ m ɛ n t ɨ d	79	document	documented	∅ -> ɨ d	regular	NA	dˈakjʊmɛnt	dˈakjʊmɛntɨd
i ɹ ˈeɪ s	i ɹ ˈeɪ s t	79	erase	erased	∅ -> t	regular	NA	iɹˈes	iɹˈest
ɪ g z ˈæ s p ə ɹ eɪ t	ɪ g z ˈæ s p ə ɹ eɪ t ɨ d	79	exasperate	exasperated	∅ -> ɨ d	regular	NA	ɪgzˈæspəɹet	ɪgzˈæspəɹetɨd
n ˈɔ	n ˈɔ d	79	gnaw	gnawed	∅ -> d	regular	NA	nˈɔ	nˈɔd
k w ˈoʊ ɹ t ɚ	k w ˈoʊ ɹ t ɚ d	79	quarter	quartered	∅ -> d	regular	NA	kwˈoɹtɚ	kwˈoɹtɚd
ɹ ɪ p ˈɛ l	ɹ ɪ p ˈɛ l d	79	repel	repelled	∅ -> d	regular	NA	ɹɪpˈɛl	ɹɪpˈɛld
ɹ ˈu t	ɹ ˈu t ɨ d	79	root	rooted	∅ -> ɨ d	regular	NA	ɹˈut	ɹˈutɨd
ɹ ˈʌ m b ə l	ɹ ˈʌ m b ə l d	79	rumble	rumbled	∅ -> d	regular	NA	ɹˈʌmbəl	ɹˈʌmbəld
ɹ ˈʌ s ə l	ɹ ˈʌ s ə l d	79	rustle	rustled	∅ -> d	regular	NA	ɹˈʌsəl	ɹˈʌsəld
s l ˈeɪ	s l ˈu	79	slay	slew	eɪ -> u	irregular	NA	slˈe	slˈu
s k w ˈi l	s k w ˈi l d	79	squeal	squealed	∅ -> d	regular	NA	skwˈil	skwˈild
s t ɹ ˈi k	s t ɹ ˈi k t	79	streak	streaked	∅ -> t	regular	NA	stɹˈik	stɹˈikt
s t ˈaɪ l aɪ z	s t ˈaɪ l aɪ z d	79	stylize	stylized	∅ -> d	regular	NA	stˈYlYz	stˈYlYzd
v ˈaʊ	v ˈaʊ d	79	vow	vowed	∅ -> d	regular	NA	vˈW	vˈWd
d ˈɛ f ə n	d ˈɛ f ə n d	78	deafen	deafened	∅ -> d	regular	NA	dˈɛfən	dˈɛfənd
ɪ l ˈu d	ɪ l ˈu d ɨ d	78	elude	eluded	∅ -> ɨ d	regular	NA	ɪlˈud	ɪlˈudɨd
ˈɛ m j ə l eɪ t	ˈɛ m j ə l eɪ t ɨ d	78	emulate	emulated	∅ -> ɨ d	regular	NA	ˈɛmjəlet	ˈɛmjəletɨd
ɪ n f ˈɝ	ɪ n f ˈɝ d	78	infer	inferred	∅ -> d	regular	NA	ɪnfˈɝ	ɪnfˈɝd
l ˈaɪ t ə n	l ˈaɪ t ə n d	78	lighten	lightened	∅ -> d	regular	NA	lˈYtən	lˈYtənd
l ˈʌ m b ɚ	l ˈʌ m b ɚ d	78	lumber	lumbered	∅ -> d	regular	NA	lˈʌmbɚ	lˈʌmbɚd
p ə t ɹ ˈoʊ l	p ə t ɹ ˈoʊ l d	78	patrol	patrolled	∅ -> d	regular	NA	pətɹˈol	pətɹˈold
ɹ ˈi p	ɹ ˈi p t	78	reap	reaped	∅ -> t	regular	NA	ɹˈip	ɹˈipt
ʃ ɹ ˈaʊ d	ʃ ɹ ˈaʊ d ɨ d	78	shroud	shrouded	∅ -> ɨ d	regular	NA	ʃɹˈWd	ʃɹˈWdɨd
s p ˈa ɹ k ə l	s p ˈa ɹ k ə l d	78	sparkle	sparkled	∅ -> d	regular	NA	spˈaɹkəl	spˈaɹkəld
t ˈeɪ l ɚ	t ˈeɪ l ɚ d	78	tailor	tailored	∅ -> d	regular	NA	tˈelɚ	tˈelɚd
t ˈɛ m p ɚ	t ˈɛ m p ɚ d	78	temper	tempered	∅ -> d	regular	NA	tˈɛmpɚ	tˈɛmpɚd
ˈæ g ɹ ə v eɪ t	ˈæ g ɹ ə v eɪ t ɨ d	77	aggravate	aggravated	∅ -> ɨ d	regular	NA	ˈægɹəvet	ˈægɹəvetɨd
ɪ k s p ˈaɪ ɚ	ɪ k s p ˈaɪ ɚ d	77	expire	expired	∅ -> d	regular	NA	ɪkspˈYɚ	ɪkspˈYɚd
f ˈɝ t ə l aɪ z	f ˈɝ t ə l aɪ z d	77	fertilize	fertilized	∅ -> d	regular	NA	fˈɝtəlYz	fˈɝtəlYzd
g ɹ ˈæ p ə l	g ɹ ˈæ p ə l d	77	grapple	grappled	∅ -> d	regular	NA	gɹˈæpəl	gɹˈæpəld
p ə ɹ ˈeɪ d	p ə ɹ ˈeɪ d ɨ d	77	parade	paraded	∅ -> ɨ d	regular	NA	pəɹˈed	pəɹˈedɨd
p l ˈeɪ g	p l ˈeɪ g d	77	plague	plagued	∅ -> d	regular	NA	plˈeg	plˈegd
ɹ ˈæ ʃ ə n	ɹ ˈæ ʃ ə n d	77	ration	rationed	∅ -> d	regular	NA	ɹˈæʃən	ɹˈæʃənd
s t ˈɪ tʃ	s t ˈɪ tʃ t	77	stitch	stitched	∅ -> t	regular	NA	stˈɪC	stˈɪCt
t ˈeɪ l	t ˈeɪ l d	77	tail	tailed	∅ -> d	regular	NA	tˈel	tˈeld
t ˈɪ k ə l	t ˈɪ k ə l d	77	tickle	tickled	∅ -> d	regular	NA	tˈɪkəl	tˈɪkəld
t ɹ ˈɛ ʒ ɚ	t ɹ ˈɛ ʒ ɚ d	77	treasure	treasured	∅ -> d	regular	NA	tɹˈɛʒɚ	tɹˈɛʒɚd
w ˈeɪ dʒ	w ˈeɪ dʒ d	77	wage	waged	∅ -> d	regular	NA	wˈeJ	wˈeJd
d ˈa g	d ˈa g d	76	dog	dogged	∅ -> d	regular	NA	dˈag	dˈagd
d ɹ ˈɛ n tʃ	d ɹ ˈɛ n tʃ t	76	drench	drenched	∅ -> t	regular	NA	dɹˈɛnC	dɹˈɛnCt
f l ˈeɪ v ɚ	f l ˈeɪ v ɚ d	76	flavour	flavoured	∅ -> d	regular	NA	flˈevɚ	flˈevɚd
p ɚ v ˈeɪ d	p ɚ v ˈeɪ d ɨ d	76	pervade	pervaded	∅ -> ɨ d	regular	NA	pɚvˈed	pɚvˈedɨd
p ˈɝ dʒ	p ˈɝ dʒ d	76	purge	purged	∅ -> d	regular	NA	pˈɝJ	pˈɝJd
ʃ ˈɛ l v	ʃ ˈɛ l v d	76	shelve	shelved	∅ -> d	regular	NA	ʃˈɛlv	ʃˈɛlvd
ʃ ɹ ˈɪ v ə l	ʃ ɹ ˈɪ v ə l d	76	shrivel	shrivelled	∅ -> d	regular	NA	ʃɹˈɪvəl	ʃɹˈɪvəld
ə d ˈoʊ ɹ n	ə d ˈoʊ ɹ n d	75	adorn	adorned	∅ -> d	regular	NA	ədˈoɹn	ədˈoɹnd
b ˈɔ l	b ˈɔ l d	75	bawl	bawled	∅ -> d	regular	NA	bˈɔl	bˈɔld
b l ˈi tʃ	b l ˈi tʃ t	75	bleach	bleached	∅ -> t	regular	NA	blˈiC	blˈiCt
b ˈʌ k ə l	b ˈʌ k ə l d	75	buckle	buckled	∅ -> d	regular	NA	bˈʌkəl	bˈʌkəld
tʃ ˈa ɹ m	tʃ ˈa ɹ m d	75	charm	charmed	∅ -> d	regular	NA	Cˈaɹm	Cˈaɹmd
k l ˈi v	k l ˈi v d	75	cleave	cleaved	∅ -> d	regular	NA	klˈiv	klˈivd
i l ˈɪ s ɪ t	i l ˈɪ s ɪ t ɨ d	75	elicit	elicited	∅ -> ɨ d	regular	NA	ilˈɪsɪt	ilˈɪsɪtɨd
h ˈɔɪ s t	h ˈɔɪ s t ɨ d	75	hoist	hoisted	∅ -> ɨ d	regular	NA	hˈOst	hˈOstɨd
ˈɪ tʃ	ˈɪ tʃ t	75	itch	itched	∅ -> t	regular	NA	ˈɪC	ˈɪCt
p ɹ ə s ˈɪ p ɪ t eɪ t	p ɹ ə s ˈɪ p ɪ t eɪ t ɨ d	75	precipitate	precipitated	∅ -> ɨ d	regular	NA	pɹəsˈɪpɪtet	pɹəsˈɪpɪtetɨd
ɹ ˈæ p	ɹ ˈæ p t	75	rap	rapped	∅ -> t	regular	NA	ɹˈæp	ɹˈæpt
t ˈɛ n s	t ˈɛ n s t	75	tense	tensed	∅ -> t	regular	NA	tˈɛns	tˈɛnst
ˈæ m p l ɪ f aɪ	ˈæ m p l ɪ f aɪ d	74	amplify	amplified	∅ -> d	regular	NA	ˈæmplɪfY	ˈæmplɪfYd
k ə n s p ˈaɪ ɚ	k ə n s p ˈaɪ ɚ d	74	conspire	conspired	∅ -> d	regular	NA	kənspˈYɚ	kənspˈYɚd
l ˈæ p s	l ˈæ p s t	74	lapse	lapsed	∅ -> t	regular	NA	lˈæps	lˈæpst
p ɹ ə p ˈɛ l	p ɹ ə p ˈɛ l d	74	propel	propelled	∅ -> d	regular	NA	pɹəpˈɛl	pɹəpˈɛld
s n ˈoʊ	s n ˈoʊ d	74	snow	snowed	∅ -> d	regular	NA	snˈo	snˈod
s k w ˈi k	s k w ˈi k t	74	squeak	squeaked	∅ -> t	regular	NA	skwˈik	skwˈikt
s t ˈu	s t ˈu d	74	stew	stewed	∅ -> d	regular	NA	stˈu	stˈud
s w ˈa m p	s w ˈa m p t	74	swamp	swamped	∅ -> t	regular	NA	swˈamp	swˈampt
