# Google doc
lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_orig	past_orig
d ɪ k ɹ ˈi	d ɪ k ɹ ˈi d	71	decree	decreed	∅ -> d	regular	NA	dIkrČi	dIkrČid
d ɪ p l ˈi t	d ɪ p l ˈi t ə d	71	deplete	depleted	∅ -> ɪ d	regular	NA	dIplČit	dIplČitŤd
d ɪ s s ˈæ t ɪ s f aɪ	d ɪ s s ˈæ t ɪ s f aɪ d	71	dissatisfy	dissatisfied	∅ -> d	regular	NA	dIssČQtIsfY	dIssČQtIsfYd
h ˈʌ m p	h ˈʌ m p t	71	hump	humped	∅ -> t	regular	NA	hČĂmp	hČĂmpt
ɪ n s t ɪ t ˈu ʃ ə n ə l aɪ z	ɪ n s t ɪ t ˈu ʃ ə n ə l aɪ z d	71	institutionalize	institutionalized	∅ -> d	regular	NA	InstItČuSŤnŤlYz	InstItČuSŤnŤlYzd
dʒ ˈæ b	dʒ ˈæ b d	71	jab	jabbed	∅ -> d	regular	NA	JČQb	JČQbd
p ˈæ d ə l	p ˈæ d ə l d	71	paddle	paddled	∅ -> d	regular	NA	pČQdŤl	pČQdŤld
ɹ ˈʌ m ɪ dʒ	ɹ ˈʌ m ɪ dʒ d	71	rummage	rummaged	∅ -> d	regular	NA	rČĂmIJ	rČĂmIJd
s ˈɔ l t	s ˈɔ l t ə d	71	salt	salted	∅ -> ɪ d	regular	NA	sČlt	sČltŤd
s k ˈoʊ ɹ n	s k ˈoʊ ɹ n d	71	scorn	scorned	∅ -> d	regular	NA	skČorn	skČornd
ʃ ˈi ɹ	ʃ ˈi ɹ d	71	shear	sheared	∅ -> d	regular	NA	SČir	SČird
ʃ ˈɛ l	ʃ ˈɛ l d	71	shell	shelled	∅ -> d	regular	NA	SČEl	SČEld
s ˈɪ f t	s ˈɪ f t ə d	71	sift	sifted	∅ -> ɪ d	regular	NA	sČIft	sČIftŤd
s l ˈæ k ə n	s l ˈæ k ə n d	71	slacken	slackened	∅ -> d	regular	NA	slČQkŤn	slČQkŤnd
ə p ˈi z	ə p ˈi z d	70	appease	appeased	∅ -> d	regular	NA	ŤpČiz	ŤpČizd
b ˈæ b ə l	b ˈæ b ə l d	70	babble	babbled	∅ -> d	regular	NA	bČQbŤl	bČQbŤld
k ə n s t ɹ ˈeɪ n	k ə n s t ɹ ˈeɪ n d	70	constrain	constrained	∅ -> d	regular	NA	kŤnstrČen	kŤnstrČend
k ɹ ˈi m	k ɹ ˈi m d	70	cream	creamed	∅ -> d	regular	NA	krČim	krČimd
d ˈɔ n t	d ˈɔ n t ə d	70	daunt	daunted	∅ -> ɪ d	regular	NA	dČnt	dČntŤd
d ɪ s p ˈeɪ ɹ	d ɪ s p ˈeɪ ɹ d	70	despair	despaired	∅ -> d	regular	NA	dIspČer	dIspČerd
d ə m ˈɛ s t ɪ k eɪ t	d ə m ˈɛ s t ɪ k eɪ t ə d	70	domesticate	domesticated	∅ -> ɪ d	regular	NA	dŤmČEstIket	dŤmČEstIketŤd
ɪ n ʃ ˈu ɹ	ɪ n ʃ ˈu ɹ d	70	insure	insured	∅ -> d	regular	NA	InSČur	InSČurd
l ˈæ p	l ˈæ p t	70	lap	lapped	∅ -> t	regular	NA	lČQp	lČQpt
m ə s ˈa ʒ	m ə s ˈa ʒ d	70	massage	massaged	∅ -> d	regular	NA	mŤsČaZ	mŤsČaZd
p ˈɪ n p ɔɪ n t	p ˈɪ n p ɔɪ n t ə d	70	pinpoint	pinpointed	∅ -> ɪ d	regular	NA	pČInpOnt	pČInpOntŤd
p l ˈaɪ	p l ˈaɪ d	70	ply	plied	∅ -> d	regular	NA	plČY	plČYd
ɹ ɪ t ˈoʊ ɹ t	ɹ ɪ t ˈoʊ ɹ t ə d	70	retort	retorted	∅ -> ɪ d	regular	NA	rItČort	rItČortŤd
s ˈʌ l k	s ˈʌ l k t	70	sulk	sulked	∅ -> t	regular	NA	sČĂlk	sČĂlkt
s ˈɚ f ɪ s	s ˈɚ f ɪ s t	70	surface	surfaced	∅ -> t	regular	NA	sČŐfIs	sČŐfIst
v ˈɔ l t	v ˈɔ l t ə d	70	vault	vaulted	∅ -> ɪ d	regular	NA	vČlt	vČltŤd
ə n ˈɔɪ n t	ə n ˈɔɪ n t ə d	69	anoint	anointed	∅ -> ɪ d	regular	NA	ŤnČOnt	ŤnČOntŤd
b ˈæ s k	b ˈæ s k t	69	bask	basked	∅ -> t	regular	NA	bČQsk	bČQskt
b l ˈæ k m eɪ l	b l ˈæ k m eɪ l d	69	blackmail	blackmailed	∅ -> d	regular	NA	blČQkmel	blČQkmeld
ɪ g z ˈæ s ɚ b eɪ t	ɪ g z ˈæ s ɚ b eɪ t ə d	69	exacerbate	exacerbated	∅ -> ɪ d	regular	NA	IgzČQsŐbet	IgzČQsŐbetŤd
g ɹ ˈɪ m ə s	g ɹ ˈɪ m ə s t	69	grimace	grimaced	∅ -> t	regular	NA	grČImŤs	grČImŤst
ɪ m p ɹ ˈɪ n t	ɪ m p ɹ ˈɪ n t ə d	69	imprint	imprinted	∅ -> ɪ d	regular	NA	ImprČInt	ImprČIntŤd
ɪ n t ɚ l ˈa k	ɪ n t ɚ l ˈa k t	69	interlock	interlocked	∅ -> t	regular	NA	IntŐlČak	IntŐlČakt
ˈɔɪ l	ˈɔɪ l d	69	oil	oiled	∅ -> d	regular	NA	ČOl	ČOld
oʊ v ɚ l ˈoʊ d	oʊ v ɚ l ˈoʊ d ə d	69	overload	overloaded	∅ -> ɪ d	regular	NA	ovŐlČod	ovŐlČodŤd
p ˈʌ ŋ k tʃ u eɪ t	p ˈʌ ŋ k tʃ u eɪ t ə d	69	punctuate	punctuated	∅ -> ɪ d	regular	NA	pČĂNkCuet	pČĂNkCuetŤd
ɹ ɪ k l ˈaɪ n	ɹ ɪ k l ˈaɪ n d	69	recline	reclined	∅ -> d	regular	NA	rIklČYn	rIklČYnd
s k ɹ ˈu t ɪ n aɪ z	s k ɹ ˈu t ɪ n aɪ z d	69	scrutinize	scrutinized	∅ -> d	regular	NA	skrČutInYz	skrČutInYzd
s n ˈoʊ ɹ	s n ˈoʊ ɹ d	69	snore	snored	∅ -> d	regular	NA	snČor	snČord
w ˈæ g	w ˈæ g d	69	wag	wagged	∅ -> d	regular	NA	wČQg	wČQgd
k ə n d ˈoʊ n	k ə n d ˈoʊ n d	68	condone	condoned	∅ -> d	regular	NA	kŤndČon	kŤndČond
d ɹ ˈæ m ə t aɪ z	d ɹ ˈæ m ə t aɪ z d	68	dramatize	dramatized	∅ -> d	regular	NA	drČQmŤtYz	drČQmŤtYzd
f ˈeɪ n	f ˈeɪ n d	68	feign	feigned	∅ -> d	regular	NA	fČen	fČend
f ˈa n d ə l	f ˈa n d ə l d	68	fondle	fondled	∅ -> d	regular	NA	fČandŤl	fČandŤld
dʒ ˈɛ p ɚ d aɪ z	dʒ ˈɛ p ɚ d aɪ z d	68	jeopardize	jeopardized	∅ -> d	regular	NA	JČEpŐdYz	JČEpŐdYzd
m ˈaɪ n	m ˈaɪ n d	68	mine	mined	∅ -> d	regular	NA	mČYn	mČYnd
m j ˈu t ɪ l eɪ t	m j ˈu t ɪ l eɪ t ə d	68	mutilate	mutilated	∅ -> ɪ d	regular	NA	mjČutIlet	mjČutIletŤd
ˈu z	ˈu z d	68	ooze	oozed	∅ -> d	regular	NA	Čuz	Čuzd
p ɹ ˈa f ɚ	p ɹ ˈa f ɚ d	68	proffer	proffered	∅ -> d	regular	NA	prČafŐ	prČafŐd
ɹ i dʒ ˈɔɪ n	ɹ i dʒ ˈɔɪ n d	68	rejoin	rejoined	∅ -> d	regular	NA	riJČOn	riJČOnd
ɹ ɛ v ə l ˈu ʃ ə n aɪ z	ɹ ɛ v ə l ˈu ʃ ə n aɪ z d	68	revolutionize	revolutionized	∅ -> d	regular	NA	rEvŤlČuSŤnYz	rEvŤlČuSŤnYzd
ɹ i ɹ ˈaɪ t	ɹ i ɹ ˈoʊ t	68	rewrite	rewrote	a ɪ -> o	irregular	NA	rirČYt	rirČot
s ˈɔ n t ɚ	s ˈɔ n t ɚ d	68	saunter	sauntered	∅ -> d	regular	NA	sČntŐ	sČntŐd
v ˈeɪ ɹ ɪ f aɪ	v ˈeɪ ɹ ɪ f aɪ d	68	verify	verified	∅ -> d	regular	NA	vČerIfY	vČerIfYd
v ˈaɪ	v ˈaɪ d	68	vie	vied	∅ -> d	regular	NA	vČY	vČYd
ɔ g m ˈɛ n t	ɔ g m ˈɛ n t ə d	67	augment	augmented	∅ -> ɪ d	regular	NA	gmČEnt	gmČEntŤd
b ˈæ ʃ	b ˈæ ʃ t	67	bash	bashed	∅ -> t	regular	NA	bČQS	bČQSt
b l ˈʌ n d ɚ	b l ˈʌ n d ɚ d	67	blunder	blundered	∅ -> d	regular	NA	blČĂndŐ	blČĂndŐd
b ɹ ˈɛ k f ə s t	b ɹ ˈɛ k f ə s t ə d	67	breakfast	breakfasted	∅ -> ɪ d	regular	NA	brČEkfŤst	brČEkfŤstŤd
b ɹ ˈɛ s t f i d	b ɹ ˈɛ s t f ɛ d	67	breastfeed	breastfed	i -> ɛ	irregular	NA	brČEstfid	brČEstfEd
k ˈa n dʒ ɚ	k ˈa n dʒ ɚ d	67	conjure	conjured	∅ -> d	regular	NA	kČanJŐ	kČanJŐd
d ˈɛ v ə s t eɪ t	d ˈɛ v ə s t eɪ t ə d	67	devastate	devastated	∅ -> ɪ d	regular	NA	dČEvŤstet	dČEvŤstetŤd
f ɹ ˈɪ n dʒ	f ɹ ˈɪ n dʒ d	67	fringe	fringed	∅ -> d	regular	NA	frČInJ	frČInJd
h ˈeɪ ɹ ə l d	h ˈeɪ ɹ ə l d ə d	67	herald	heralded	∅ -> ɪ d	regular	NA	hČerŤld	hČerŤldŤd
dʒ ˈi ɹ	dʒ ˈi ɹ d	67	jeer	jeered	∅ -> d	regular	NA	JČir	JČird
n ˈu t ɹ ə l aɪ z	n ˈu t ɹ ə l aɪ z d	67	neutralize	neutralized	∅ -> d	regular	NA	nČutrŤlYz	nČutrŤlYzd
p ˈɛ t ɹ ɪ f aɪ	p ˈɛ t ɹ ɪ f aɪ d	67	petrify	petrified	∅ -> d	regular	NA	pČEtrIfY	pČEtrIfYd
p ɹ ˈaɪ z	p ɹ ˈaɪ z d	67	prize	prized	∅ -> d	regular	NA	prČYz	prČYzd
ɹ i s t ɹ ˈʌ k tʃ ɚ	ɹ i s t ɹ ˈʌ k tʃ ɚ d	67	restructure	restructured	∅ -> d	regular	NA	ristrČĂkCŐ	ristrČĂkCŐd
ɹ ɪ v ˈi ɹ	ɹ ɪ v ˈi ɹ d	67	revere	revered	∅ -> d	regular	NA	rIvČir	rIvČird
ɹ ˈɪ d ə l	ɹ ˈɪ d ə l d	67	riddle	riddled	∅ -> d	regular	NA	rČIdŤl	rČIdŤld
s k ˈʌ t ə l	s k ˈʌ t ə l d	67	scuttle	scuttled	∅ -> d	regular	NA	skČĂtŤl	skČĂtŤld
s p ˈaɪ ɹ ə l	s p ˈaɪ ɹ ə l d	67	spiral	spiralled	∅ -> d	regular	NA	spČYrŤl	spČYrŤld
s w ˈɪ v ə l	s w ˈɪ v ə l d	67	swivel	swivelled	∅ -> d	regular	NA	swČIvŤl	swČIvŤld
t ˈeɪ p ɚ	t ˈeɪ p ɚ d	67	taper	tapered	∅ -> d	regular	NA	tČepŐ	tČepŐd
t ˈoʊ	t ˈoʊ d	67	tow	towed	∅ -> d	regular	NA	tČo	tČod
w ˈɚ s ə n	w ˈɚ s ə n d	67	worsen	worsened	∅ -> d	regular	NA	wČŐsŤn	wČŐsŤnd
b ˈæ n d ɪ dʒ	b ˈæ n d ɪ dʒ d	66	bandage	bandaged	∅ -> d	regular	NA	bČQndIJ	bČQndIJd
k ˈæ m ə f l a ʒ	k ˈæ m ə f l a ʒ d	66	camouflage	camouflaged	∅ -> d	regular	NA	kČQmŤflaZ	kČQmŤflaZd
tʃ ˈa ɹ t ɚ	tʃ ˈa ɹ t ɚ d	66	charter	chartered	∅ -> d	regular	NA	CČartŐ	CČartŐd
d ɪ v ˈɚ s ɪ f aɪ	d ɪ v ˈɚ s ɪ f aɪ d	66	diversify	diversified	∅ -> d	regular	NA	dIvČŐsIfY	dIvČŐsIfYd
ɪ n ɹ ˈoʊ l	ɪ n ɹ ˈoʊ l d	66	enrol	enroled	∅ -> d	regular	NA	InrČol	InrČold
f l ˈeɪ k	f l ˈeɪ k t	66	flake	flaked	∅ -> t	regular	NA	flČek	flČekt
f l ˈɚ t	f l ˈɚ t ə d	66	flirt	flirted	∅ -> ɪ d	regular	NA	flČŐt	flČŐtŤd
g ˈeɪ dʒ	g ˈeɪ dʒ d	66	gauge	gauged	∅ -> d	regular	NA	gČeJ	gČeJd
ˈɪ m p ɹ ə v aɪ z	ˈɪ m p ɹ ə v aɪ z d	66	improvise	improvised	∅ -> d	regular	NA	ČImprŤvYz	ČImprŤvYzd
m ˈæ s	m ˈæ s t	66	mass	massed	∅ -> t	regular	NA	mČQs	mČQst
m ˈæ s t ɚ b eɪ t	m ˈæ s t ɚ b eɪ t ə d	66	masturbate	masturbated	∅ -> ɪ d	regular	NA	mČQstŐbet	mČQstŐbetŤd
m ˈɪ n s	m ˈɪ n s t	66	mince	minced	∅ -> t	regular	NA	mČIns	mČInst
ə b s t ɹ ˈʌ k t	ə b s t ɹ ˈʌ k t ə d	66	obstruct	obstructed	∅ -> ɪ d	regular	NA	ŤbstrČĂkt	ŤbstrČĂktŤd
p ˈɪ s	p ˈɪ s t	66	piss	pissed	∅ -> t	regular	NA	pČIs	pČIst
k j ˈu	k j ˈu d	66	queue	queued	∅ -> d	regular	NA	kjČu	kjČud
s m ˈoʊ l d ɚ	s m ˈoʊ l d ɚ d	66	smoulder	smouldered	∅ -> d	regular	NA	smČoldŐ	smČoldŐd
t æ t ˈu	t æ t ˈu d	66	tattoo	tattooed	∅ -> d	regular	NA	tQtČu	tQtČud
w ˈu p	w ˈu p t	66	whoop	whooped	∅ -> t	regular	NA	wČup	wČupt
ə b s t ˈeɪ n	ə b s t ˈeɪ n d	65	abstain	abstained	∅ -> d	regular	NA	ŤbstČen	ŤbstČend
b ɪ f ˈɔ l	b ɪ f ˈɛ l	65	befall	befell	ɔ -> ɛ	irregular	NA	bIfČl	bIfČEl
k ɹ ˈeɪ d ə l	k ɹ ˈeɪ d ə l d	65	cradle	cradled	∅ -> d	regular	NA	krČedŤl	krČedŤld
k ˈʌ d ə l	k ˈʌ d ə l d	65	cuddle	cuddled	∅ -> d	regular	NA	kČĂdŤl	kČĂdŤld
d ɪ m ˈoʊ ɹ ə l aɪ z	d ɪ m ˈoʊ ɹ ə l aɪ z d	65	demoralize	demoralized	∅ -> d	regular	NA	dImČorŤlYz	dImČorŤlYzd
f ˈi s t	f ˈi s t ə d	65	feast	feasted	∅ -> ɪ d	regular	NA	fČist	fČistŤd
h ˈa ɹ b ɚ	h ˈa ɹ b ɚ d	65	harbour	harboured	∅ -> d	regular	NA	hČarbŐ	hČarbŐd
h ˈʌ s ə l	h ˈʌ s ə l d	65	hustle	hustled	∅ -> d	regular	NA	hČĂsŤl	hČĂsŤld
l ˈu t	l ˈu t ə d	65	loot	looted	∅ -> ɪ d	regular	NA	lČut	lČutŤd
m ˈeɪ l	m ˈeɪ l d	65	mail	mailed	∅ -> d	regular	NA	mČel	mČeld
p ˈaʊ ɚ	p ˈaʊ ɚ d	65	power	powered	∅ -> d	regular	NA	pČWŐ	pČWŐd
ɹ ˈæ k	ɹ ˈæ k t	65	rack	racked	∅ -> t	regular	NA	rČQk	rČQkt
s p ˈæ n	s p ˈæ n d	65	span	spanned	∅ -> d	regular	NA	spČQn	spČQnd
t ˈoʊ s t	t ˈoʊ s t ə d	65	toast	toasted	∅ -> ɪ d	regular	NA	tČost	tČostŤd
ʌ n l ˈi ʃ	ʌ n l ˈi ʃ t	65	unleash	unleashed	∅ -> t	regular	NA	ĂnlČiS	ĂnlČiSt
v ˈɔɪ s	v ˈɔɪ s t	65	voice	voiced	∅ -> t	regular	NA	vČOs	vČOst
ə s ˈæ s ɪ n eɪ t	ə s ˈæ s ɪ n eɪ t ə d	64	assassinate	assassinated	∅ -> ɪ d	regular	NA	ŤsČQsInet	ŤsČQsInetŤd
b l ˈu m	b l ˈu m d	64	bloom	bloomed	∅ -> d	regular	NA	blČum	blČumd
ɪ n k ˈeɪ s	ɪ n k ˈeɪ s t	64	encase	encased	∅ -> t	regular	NA	InkČes	InkČest
ɪ n t ˈaɪ s	ɪ n t ˈaɪ s t	64	entice	enticed	∅ -> t	regular	NA	IntČYs	IntČYst
h ˈaɪ k	h ˈaɪ k t	64	hike	hiked	∅ -> t	regular	NA	hČYk	hČYkt
h ˈa l ɚ	h ˈa l ɚ d	64	holler	hollered	∅ -> d	regular	NA	hČalŐ	hČalŐd
h j ˈu m ɚ	h j ˈu m ɚ d	64	humour	humoured	∅ -> d	regular	NA	hjČumŐ	hjČumŐd
ɪ n s k ɹ ˈaɪ b	ɪ n s k ɹ ˈaɪ b d	64	inscribe	inscribed	∅ -> d	regular	NA	InskrČYb	InskrČYbd
m ˈæ p	m ˈæ p t	64	map	mapped	∅ -> t	regular	NA	mČQp	mČQpt
p ˈi p	p ˈi p t	64	peep	peeped	∅ -> t	regular	NA	pČip	pČipt
p ɹ ə f ˈɛ s	p ɹ ə f ˈɛ s t	64	profess	professed	∅ -> t	regular	NA	prŤfČEs	prŤfČEst
p ˈɚ s	p ˈɚ s t	64	purse	pursed	∅ -> t	regular	NA	pČŐs	pČŐst
ɹ i k ˈæ p tʃ ɚ	ɹ i k ˈæ p tʃ ɚ d	64	recapture	recaptured	∅ -> d	regular	NA	rikČQpCŐ	rikČQpCŐd
ɹ ɪ p ɹ ˈoʊ tʃ	ɹ ɪ p ɹ ˈoʊ tʃ t	64	reproach	reproached	∅ -> t	regular	NA	rIprČoC	rIprČoCt
s ˈæ d ə l	s ˈæ d ə l d	64	saddle	saddled	∅ -> d	regular	NA	sČQdŤl	sČQdŤld
s ˈɚ v ɪ s	s ˈɚ v ɪ s t	64	service	serviced	∅ -> t	regular	NA	sČŐvIs	sČŐvIst
s p ˈeɪ s	s p ˈeɪ s t	64	space	spaced	∅ -> t	regular	NA	spČes	spČest
s ə p l ˈæ n t	s ə p l ˈæ n t ə d	64	supplant	supplanted	∅ -> ɪ d	regular	NA	sŤplČQnt	sŤplČQntŤd
a ɹ t ˈɪ k j ʊ l eɪ t	a ɹ t ˈɪ k j ʊ l eɪ t ə d	63	articulate	articulated	∅ -> ɪ d	regular	NA	artČIkjUlet	artČIkjUletŤd
b ɪ s ˈɛ t	b ɪ s ˈɛ t	63	beset	beset	no_change	irregular	NA	bIsČEt	bIsČEt
b ɹ ˈɪ dʒ	b ɹ ˈɪ dʒ d	63	bridge	bridged	∅ -> d	regular	NA	brČIJ	brČIJd
s ˈɛ n s ɚ	s ˈɛ n s ɚ d	63	censor	censored	∅ -> d	regular	NA	sČEnsŐ	sČEnsŐd
k l ˈæ s	k l ˈæ s t	63	class	classed	∅ -> t	regular	NA	klČQs	klČQst
k ˈa m p l ɪ m ɛ n t	k ˈa m p l ɪ m ɛ n t ə d	63	complement	complemented	∅ -> ɪ d	regular	NA	kČamplImEnt	kČamplImEntŤd
k ɚ t ˈeɪ l	k ɚ t ˈeɪ l d	63	curtail	curtailed	∅ -> d	regular	NA	kŐtČel	kŐtČeld
d ˈaɪ ə t	d ˈaɪ ə t ə d	63	diet	dieted	∅ -> ɪ d	regular	NA	dČYŤt	dČYŤtŤd
d ɹ ˈɪ b ə l	d ɹ ˈɪ b ə l d	63	dribble	dribbled	∅ -> d	regular	NA	drČIbŤl	drČIbŤld
g ˈæ m b ə l	g ˈæ m b ə l d	63	gamble	gambled	∅ -> d	regular	NA	gČQmbŤl	gČQmbŤld
g ˈa b ə l	g ˈa b ə l d	63	gobble	gobbled	∅ -> d	regular	NA	gČabŤl	gČabŤld
m ˈɛ m ə ɹ aɪ z	m ˈɛ m ə ɹ aɪ z d	63	memorize	memorized	∅ -> d	regular	NA	mČEmŤrYz	mČEmŤrYzd
m ˈeɪ ɹ ɪ t	m ˈeɪ ɹ ɪ t ə d	63	merit	merited	∅ -> ɪ d	regular	NA	mČerIt	mČerItŤd
m ˈɪ t ɪ g eɪ t	m ˈɪ t ɪ g eɪ t ə d	63	mitigate	mitigated	∅ -> ɪ d	regular	NA	mČItIget	mČItIgetŤd
p ˈɚ s ɪ k j u t	p ˈɚ s ɪ k j u t ə d	63	persecute	persecuted	∅ -> ɪ d	regular	NA	pČŐsIkjut	pČŐsIkjutŤd
p l ˈa d	p l ˈa d ə d	63	plod	plodded	∅ -> ɪ d	regular	NA	plČad	plČadŤd
ɹ ˈaɪ p ə n	ɹ ˈaɪ p ə n d	63	ripen	ripened	∅ -> d	regular	NA	rČYpŤn	rČYpŤnd
s k ˈeɪ l	s k ˈeɪ l d	63	scale	scaled	∅ -> d	regular	NA	skČel	skČeld
s k ɹ ˈæ p	s k ɹ ˈæ p t	63	scrap	scrapped	∅ -> t	regular	NA	skrČQp	skrČQpt
ʃ ɹ ˈɛ d	ʃ ɹ ˈɛ d ə d	63	shred	shredded	∅ -> ɪ d	regular	NA	SrČEd	SrČEdŤd
s t ˈʌ n t	s t ˈʌ n t ə d	63	stunt	stunted	∅ -> ɪ d	regular	NA	stČĂnt	stČĂntŤd
t ˈæ g	t ˈæ g d	63	tag	tagged	∅ -> d	regular	NA	tČQg	tČQgd
t ˈeɪ p	t ˈeɪ p t	63	tape	taped	∅ -> t	regular	NA	tČep	tČept
t ˈeɪ ɹ ə s	t ˈeɪ ɹ ə s t	63	terrace	terraced	∅ -> t	regular	NA	tČerŤs	tČerŤst
t ˈɛ ð ɚ	t ˈɛ ð ɚ d	63	tether	tethered	∅ -> d	regular	NA	tČEDŐ	tČEDŐd
k ˈæ p	k ˈæ p t	62	cap	capped	∅ -> t	regular	NA	kČQp	kČQpt
k ɹ ˈu s ɪ f aɪ	k ɹ ˈu s ɪ f aɪ d	62	crucify	crucified	∅ -> d	regular	NA	krČusIfY	krČusIfYd
f oʊ ɹ s t ˈɔ l	f oʊ ɹ s t ˈɔ l d	62	forestall	forestalled	∅ -> d	regular	NA	forstČl	forstČld
ɪ n t ˈoʊ n	ɪ n t ˈoʊ n d	62	intone	intoned	∅ -> d	regular	NA	IntČon	IntČond
l ˈæ g	l ˈæ g d	62	lag	lagged	∅ -> d	regular	NA	lČQg	lČQgd
l ˈi tʃ	l ˈi tʃ t	62	leach	leached	∅ -> t	regular	NA	lČiC	lČiCt
l ˈaʊ n dʒ	l ˈaʊ n dʒ d	62	lounge	lounged	∅ -> d	regular	NA	lČWnJ	lČWnJd
m aɪ g ɹ ˈeɪ t	m aɪ g ɹ ˈeɪ t ə d	62	migrate	migrated	∅ -> ɪ d	regular	NA	mYgrČet	mYgrČetŤd
p ˈeɪ ɹ ə l ɛ l	p ˈeɪ ɹ ə l ɛ l d	62	parallel	paralleled	∅ -> d	regular	NA	pČerŤlEl	pČerŤlEld
ɹ ˈʌ m p ə l	ɹ ˈʌ m p ə l d	62	rumple	rumpled	∅ -> d	regular	NA	rČĂmpŤl	rČĂmpŤld
s ˈæ ŋ k ʃ ə n	s ˈæ ŋ k ʃ ə n d	62	sanction	sanctioned	∅ -> d	regular	NA	sČQNkSŤn	sČQNkSŤnd
s ˈɔ	s ˈɔ d	62	saw	sawed	∅ -> d	regular	NA	sČ	sČd
s p ˈɚ	s p ˈɚ d	62	spur	spurred	∅ -> d	regular	NA	spČŐ	spČŐd
s ə b m ˈɚ dʒ	s ə b m ˈɚ dʒ d	62	submerge	submerged	∅ -> d	regular	NA	sŤbmČŐJ	sŤbmČŐJd
ˈɔ t oʊ m eɪ t	ˈɔ t oʊ m eɪ t ə d	61	automate	automated	∅ -> ɪ d	regular	NA	Čtomet	ČtometŤd
b ɹ ˈaʊ n	b ɹ ˈaʊ n d	61	brown	browned	∅ -> d	regular	NA	brČWn	brČWnd
b ˈʌ g ɚ	b ˈʌ g ɚ d	61	bugger	buggered	∅ -> d	regular	NA	bČĂgŐ	bČĂgŐd
d ɪ d ˈʌ k t	d ɪ d ˈʌ k t ə d	61	deduct	deducted	∅ -> ɪ d	regular	NA	dIdČĂkt	dIdČĂktŤd
d ɪ s l ˈa dʒ	d ɪ s l ˈa dʒ d	61	dislodge	dislodged	∅ -> d	regular	NA	dIslČaJ	dIslČaJd
ɪ n dʒ ˈɛ n d ɚ	ɪ n dʒ ˈɛ n d ɚ d	61	engender	engendered	∅ -> d	regular	NA	InJČEndŐ	InJČEndŐd
ɪ g z ˈoʊ ɹ t	ɪ g z ˈoʊ ɹ t ə d	61	exhort	exhorted	∅ -> ɪ d	regular	NA	IgzČort	IgzČortŤd
ˈɛ k s aɪ l	ˈɛ k s aɪ l d	61	exile	exiled	∅ -> d	regular	NA	ČEksYl	ČEksYld
g ˈʌ t	g ˈʌ t ə d	61	gut	gutted	∅ -> ɪ d	regular	NA	gČĂt	gČĂtŤd
ɪ m p l ˈæ n t	ɪ m p l ˈæ n t ə d	61	implant	implanted	∅ -> ɪ d	regular	NA	ImplČQnt	ImplČQntŤd
n ˈʌ m	n ˈʌ m d	61	numb	numbed	∅ -> d	regular	NA	nČĂm	nČĂmd
ɹ i ˈoʊ ɹ g ə n aɪ z	ɹ i ˈoʊ ɹ g ə n aɪ z d	61	reorganize	reorganized	∅ -> d	regular	NA	riČorgŤnYz	riČorgŤnYzd
s k ˈoʊ ɹ tʃ	s k ˈoʊ ɹ tʃ t	61	scorch	scorched	∅ -> t	regular	NA	skČorC	skČorCt
s ˈɪ n	s ˈɪ n d	61	sin	sinned	∅ -> d	regular	NA	sČIn	sČInd
s p ˈa ɹ k	s p ˈa ɹ k t	61	spark	sparked	∅ -> t	regular	NA	spČark	spČarkt
ʌ n ɹ ˈæ v ə l	ʌ n ɹ ˈæ v ə l d	61	unravel	unravelled	∅ -> d	regular	NA	ĂnrČQvŤl	ĂnrČQvŤld
ə k w ˈɪ t	ə k w ˈɪ t ə d	60	acquit	acquitted	∅ -> ɪ d	regular	NA	ŤkwČIt	ŤkwČItŤd
k ˈæ p ɪ t ə l aɪ z	k ˈæ p ɪ t ə l aɪ z d	60	capitalize	capitalized	∅ -> d	regular	NA	kČQpItŤlYz	kČQpItŤlYzd
ɪ dʒ ˈɛ k t	ɪ dʒ ˈɛ k t ə d	60	eject	ejected	∅ -> ɪ d	regular	NA	IJČEkt	IJČEktŤd
ɪ m ˈæ n s ɪ p eɪ t	ɪ m ˈæ n s ɪ p eɪ t ə d	60	emancipate	emancipated	∅ -> ɪ d	regular	NA	ImČQnsIpet	ImČQnsIpetŤd
ɪ n g ɹ ˈoʊ s	ɪ n g ɹ ˈoʊ s t	60	engross	engrossed	∅ -> t	regular	NA	IngrČos	IngrČost
ɪ v ˈæ k j u eɪ t	ɪ v ˈæ k j u eɪ t ə d	60	evacuate	evacuated	∅ -> ɪ d	regular	NA	IvČQkjuet	IvČQkjuetŤd
f ˈʊ t	f ˈʊ t ə d	60	foot	footed	∅ -> ɪ d	regular	NA	fČUt	fČUtŤd
g l ˈaʊ ɚ	g l ˈaʊ ɚ d	60	glower	glowered	∅ -> d	regular	NA	glČWŐ	glČWŐd
ɪ m p l ˈoʊ ɹ	ɪ m p l ˈoʊ ɹ d	60	implore	implored	∅ -> d	regular	NA	ImplČor	ImplČord
l ˈu p	l ˈu p t	60	loop	looped	∅ -> t	regular	NA	lČup	lČupt
m ˈɛ d ɪ t eɪ t	m ˈɛ d ɪ t eɪ t ə d	60	meditate	meditated	∅ -> ɪ d	regular	NA	mČEdItet	mČEdItetŤd
